epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.771,1.19808,1.91135,1.03816,0.77395,0.71638,0.78896,0.53052,1.14427,1.58437,0.98753,0.00055324,0.00055324,0.00055324
2,24.1253,1.16065,1.28895,1.04176,0.84729,0.71664,0.81938,0.55532,1.10495,1.36631,1.04594,0.00108695,0.00108695,0.00108695
3,35.1974,1.19376,1.1077,1.06747,0.868,0.68911,0.82515,0.53058,1.21121,1.06268,1.09385,0.00159866,0.00159866,0.00159866
4,46.3853,1.1614,0.99438,1.06019,0.88715,0.73152,0.85318,0.58413,1.11326,0.94826,1.0608,0.00156798,0.00156798,0.00156798
5,57.5178,1.11388,0.92511,1.04356,0.85414,0.78384,0.87236,0.60647,1.04896,0.88045,1.02474,0.00153497,0.00153497,0.00153497
6,68.6937,1.07919,0.86494,1.02729,0.84677,0.78232,0.86156,0.6123,1.04147,0.885,1.01192,0.00150197,0.00150197,0.00150197
7,79.8435,1.0563,0.82825,1.01776,0.86766,0.77293,0.87948,0.63771,1.00387,0.81421,1.0163,0.00146896,0.00146896,0.00146896
8,91.1323,1.03542,0.79432,1.01052,0.91316,0.82749,0.91858,0.67055,0.96608,0.68485,0.99492,0.00143595,0.00143595,0.00143595
9,102.31,1.01691,0.7706,1.00356,0.90384,0.8196,0.91527,0.66012,0.9769,0.71719,0.99563,0.00140295,0.00140295,0.00140295
10,113.394,1.00481,0.74161,0.99755,0.89145,0.85572,0.92515,0.68063,0.95254,0.65835,0.99233,0.00136994,0.00136994,0.00136994
11,124.555,0.97857,0.72687,0.98421,0.9161,0.85288,0.92693,0.6733,0.96104,0.64873,0.99388,0.00133693,0.00133693,0.00133693
12,135.692,0.97136,0.70358,0.98665,0.90878,0.83874,0.9216,0.68169,0.93737,0.6922,0.97314,0.00130393,0.00130393,0.00130393
13,146.873,0.96006,0.69305,0.97826,0.91329,0.82942,0.92845,0.69977,0.89235,0.64272,0.95772,0.00127092,0.00127092,0.00127092
14,158.121,0.93894,0.66952,0.97282,0.92123,0.8794,0.94157,0.70446,0.91026,0.61725,0.96711,0.00123791,0.00123791,0.00123791
15,169.335,0.92052,0.65574,0.9641,0.93593,0.8525,0.93896,0.72122,0.86421,0.60613,0.95422,0.00120491,0.00120491,0.00120491
16,180.474,0.91544,0.63616,0.96708,0.93741,0.87284,0.94513,0.72307,0.87527,0.55744,0.95666,0.0011719,0.0011719,0.0011719
17,191.631,0.91608,0.64086,0.96554,0.93424,0.86135,0.94206,0.7151,0.88065,0.6039,0.95436,0.00113889,0.00113889,0.00113889
18,202.761,0.90793,0.61838,0.95936,0.9427,0.85413,0.94598,0.7249,0.86709,0.55173,0.95059,0.00110589,0.00110589,0.00110589
19,214.025,0.90078,0.61916,0.95902,0.94321,0.89051,0.95148,0.74054,0.8314,0.53554,0.94287,0.00107288,0.00107288,0.00107288
20,225.135,0.89659,0.61079,0.95664,0.94354,0.89389,0.95777,0.74103,0.824,0.52858,0.9365,0.00103987,0.00103987,0.00103987
21,236.287,0.88629,0.5949,0.95808,0.94276,0.88458,0.95903,0.7348,0.84515,0.55518,0.94964,0.00100687,0.00100687,0.00100687
22,247.363,0.85707,0.58246,0.94773,0.93777,0.90188,0.95427,0.73536,0.84016,0.51372,0.94704,0.000973861,0.000973861,0.000973861
23,258.561,0.86045,0.57824,0.94493,0.94984,0.89054,0.96024,0.7584,0.79419,0.49455,0.92643,0.000940855,0.000940855,0.000940855
24,269.83,0.85951,0.56816,0.93813,0.93887,0.90342,0.96313,0.75146,0.80952,0.51306,0.93389,0.000907848,0.000907848,0.000907848
25,281.003,0.85148,0.55678,0.94535,0.92886,0.89958,0.96222,0.75873,0.78989,0.48084,0.92823,0.000874842,0.000874842,0.000874842
26,292.184,0.85478,0.55397,0.93934,0.95463,0.89855,0.96324,0.75536,0.79006,0.47938,0.9223,0.000841835,0.000841835,0.000841835
27,303.401,0.83591,0.5402,0.94097,0.94659,0.8914,0.9646,0.76346,0.78385,0.48262,0.92709,0.000808828,0.000808828,0.000808828
28,314.596,0.84009,0.55021,0.93464,0.96132,0.8999,0.96675,0.76316,0.79078,0.46566,0.9287,0.000775822,0.000775822,0.000775822
29,325.903,0.81202,0.52328,0.92369,0.95099,0.91247,0.96903,0.77403,0.75458,0.45195,0.91771,0.000742815,0.000742815,0.000742815
30,337.085,0.81417,0.51542,0.92646,0.93789,0.93,0.96787,0.77456,0.77553,0.44686,0.92258,0.000709809,0.000709809,0.000709809
31,348.235,0.81032,0.51686,0.92495,0.96174,0.91864,0.9696,0.7789,0.73787,0.43497,0.90772,0.000676802,0.000676802,0.000676802
32,359.448,0.79246,0.51039,0.92178,0.9482,0.92051,0.97124,0.78338,0.73326,0.43213,0.90829,0.000643795,0.000643795,0.000643795
