epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7101,1.21086,1.99908,1.0346,0.84899,0.69024,0.79764,0.54672,1.11673,1.59111,1.01333,0.000552969,0.000552969,0.000552969
2,20.3089,1.16162,1.31803,1.04476,0.8422,0.65686,0.7916,0.52351,1.18478,1.55317,1.07292,0.00103547,0.00103547,0.00103547
3,29.6145,1.16272,1.13815,1.04891,0.80075,0.70813,0.81118,0.54283,1.11384,1.19097,1.04679,0.00144461,0.00144461,0.00144461
4,38.9532,1.13565,0.98036,1.04823,0.87175,0.76913,0.86605,0.58405,1.11486,0.91842,1.06207,0.00133693,0.00133693,0.00133693
5,48.4012,1.08855,0.9021,1.0258,0.85891,0.78679,0.87962,0.61959,1.04791,0.88084,1.03802,0.00122691,0.00122691,0.00122691
6,58.0008,1.04419,0.84552,0.99321,0.78854,0.73417,0.84516,0.5853,1.09539,0.99866,1.05704,0.00111689,0.00111689,0.00111689
7,66.846,1.00203,0.79055,0.98203,0.85333,0.7542,0.87545,0.61763,1.05409,0.83612,1.03362,0.00100687,0.00100687,0.00100687
8,75.7542,0.97939,0.73859,0.97253,0.91679,0.7964,0.91612,0.62842,1.0685,0.75118,1.05329,0.000896846,0.000896846,0.000896846
9,84.5992,0.94254,0.7053,0.96268,0.89722,0.81626,0.91349,0.66735,0.95168,0.73218,1.00245,0.000786824,0.000786824,0.000786824
10,93.5562,0.9133,0.65093,0.94722,0.91128,0.84687,0.93067,0.6779,0.9654,0.67825,0.98479,0.000676802,0.000676802,0.000676802
11,102.568,0.88731,0.61766,0.93808,0.92125,0.84022,0.93815,0.6827,0.98213,0.62405,1.01704,0.00056678,0.00056678,0.00056678
12,111.444,0.86005,0.58835,0.92317,0.91372,0.84147,0.93254,0.68319,0.94318,0.63049,0.99533,0.000456758,0.000456758,0.000456758
13,120.314,0.83467,0.55596,0.91785,0.93856,0.84772,0.94865,0.71667,0.90938,0.57996,0.97202,0.000346736,0.000346736,0.000346736
14,129.228,0.81144,0.52366,0.90798,0.90834,0.87135,0.95361,0.72438,0.87681,0.55015,0.96049,0.000236714,0.000236714,0.000236714
15,138.105,0.77749,0.49481,0.89283,0.94443,0.87907,0.96069,0.73523,0.8556,0.52728,0.95444,0.000126692,0.000126692,0.000126692
