epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96256,1.217,2.08557,1.04815,0.78161,0.69022,0.77006,0.51877,1.15677,1.66437,0.9914,0.000552194,0.000552194,0.000552194
2,18.715,1.20376,1.38627,1.06816,0.80688,0.73009,0.8098,0.52894,1.17547,1.57102,1.0599,0.00108592,0.00108592,0.00108592
3,27.2149,1.1995,1.20236,1.07165,0.82442,0.66098,0.77146,0.50564,1.1878,1.57445,1.09563,0.00159765,0.00159765,0.00159765
4,35.5785,1.16388,1.05752,1.06455,0.7988,0.69486,0.78264,0.50718,1.14805,1.43438,1.07639,0.00156798,0.00156798,0.00156798
5,44.1046,1.10674,0.96162,1.04218,0.83905,0.76594,0.85383,0.58312,1.10737,0.93634,1.04239,0.00153497,0.00153497,0.00153497
6,52.5675,1.0894,0.91424,1.02583,0.89136,0.74561,0.85128,0.58244,1.12494,0.93391,1.05845,0.00150197,0.00150197,0.00150197
7,60.9653,1.07533,0.87179,1.02384,0.83025,0.72691,0.83207,0.56853,1.10055,0.95311,1.06341,0.00146896,0.00146896,0.00146896
8,69.363,1.04699,0.83708,1.01529,0.86955,0.77785,0.86299,0.59926,1.05035,0.90081,1.02668,0.00143595,0.00143595,0.00143595
9,77.7824,1.01745,0.80199,1.00385,0.89543,0.7977,0.89867,0.6345,1.05788,0.76305,1.01977,0.00140295,0.00140295,0.00140295
10,86.3559,1.01539,0.77723,1.00147,0.86844,0.81252,0.8885,0.62904,1.02786,0.79951,1.01804,0.00136994,0.00136994,0.00136994
11,94.7769,0.98576,0.73899,0.99634,0.80016,0.78637,0.84658,0.59883,1.04375,0.85671,1.01376,0.00133693,0.00133693,0.00133693
12,103.171,0.98217,0.73054,0.985,0.89254,0.81372,0.9086,0.65339,1.01789,0.69732,1.00902,0.00130393,0.00130393,0.00130393
13,111.575,0.97346,0.71217,0.97798,0.914,0.81642,0.91138,0.66099,0.99066,0.73259,0.99308,0.00127092,0.00127092,0.00127092
14,120.006,0.94781,0.69682,0.97499,0.8543,0.83771,0.8954,0.65013,0.96825,0.73501,0.9874,0.00123791,0.00123791,0.00123791
15,128.408,0.94831,0.68049,0.972,0.88688,0.80154,0.8934,0.64982,0.99348,0.7237,1.00074,0.00120491,0.00120491,0.00120491
16,136.977,0.9341,0.66122,0.97503,0.88103,0.84618,0.91574,0.6648,0.99513,0.65576,1.01698,0.0011719,0.0011719,0.0011719
17,145.477,0.90626,0.63315,0.96163,0.88947,0.83549,0.9057,0.66432,0.95664,0.7339,0.99792,0.00113889,0.00113889,0.00113889
18,153.898,0.91522,0.64262,0.9647,0.91148,0.83197,0.91864,0.67112,0.96708,0.65525,1.00008,0.00110589,0.00110589,0.00110589
19,162.338,0.89144,0.63197,0.95402,0.89674,0.85885,0.92102,0.68771,0.94625,0.61695,0.99386,0.00107288,0.00107288,0.00107288
20,170.796,0.90191,0.62379,0.95905,0.91159,0.84859,0.92096,0.68064,0.92786,0.62216,0.98509,0.00103987,0.00103987,0.00103987
21,179.204,0.89481,0.61758,0.95535,0.90646,0.85297,0.92323,0.6817,0.96087,0.63407,1.00371,0.00100687,0.00100687,0.00100687
22,187.771,0.89425,0.60549,0.95894,0.93714,0.85235,0.93236,0.68783,0.94664,0.60022,0.99967,0.000973861,0.000973861,0.000973861
23,196.217,0.87239,0.6001,0.94125,0.90504,0.87008,0.92827,0.69005,0.92926,0.63212,0.98169,0.000940855,0.000940855,0.000940855
24,204.628,0.86674,0.58551,0.94278,0.9091,0.84471,0.9285,0.6903,0.91108,0.62239,0.971,0.000907848,0.000907848,0.000907848
25,213.051,0.85085,0.56426,0.94006,0.92255,0.87359,0.93841,0.70124,0.90055,0.57851,0.97384,0.000874842,0.000874842,0.000874842
26,221.476,0.84384,0.55025,0.93808,0.92836,0.85528,0.93036,0.70084,0.903,0.59429,0.97002,0.000841835,0.000841835,0.000841835
27,229.987,0.82644,0.55006,0.93382,0.92151,0.86828,0.93164,0.70744,0.90212,0.58754,0.9797,0.000808828,0.000808828,0.000808828
28,238.51,0.83106,0.54774,0.9241,0.90604,0.88698,0.93328,0.69858,0.90907,0.57475,0.97788,0.000775822,0.000775822,0.000775822
29,246.927,0.84014,0.55247,0.93716,0.93788,0.86559,0.93955,0.70196,0.89496,0.56044,0.96348,0.000742815,0.000742815,0.000742815
30,255.335,0.81886,0.53003,0.9283,0.92047,0.88078,0.93371,0.70842,0.89021,0.55465,0.97179,0.000709809,0.000709809,0.000709809
31,263.776,0.81506,0.5224,0.92967,0.91746,0.8767,0.93789,0.70696,0.88352,0.55759,0.97301,0.000676802,0.000676802,0.000676802
32,272.197,0.79461,0.51889,0.92452,0.93747,0.87386,0.94152,0.71388,0.87386,0.54767,0.96744,0.000643795,0.000643795,0.000643795
33,280.636,0.79336,0.51269,0.91469,0.91685,0.88594,0.93561,0.712,0.86577,0.54345,0.96429,0.000610789,0.000610789,0.000610789
34,289.21,0.79069,0.50161,0.91945,0.92087,0.89219,0.93715,0.71588,0.86998,0.53291,0.97001,0.000577782,0.000577782,0.000577782
35,297.644,0.78067,0.50089,0.92222,0.94701,0.87081,0.93935,0.71188,0.86327,0.52524,0.96557,0.000544776,0.000544776,0.000544776
36,306.082,0.76527,0.48209,0.91001,0.93975,0.8831,0.93931,0.72851,0.84992,0.5316,0.96091,0.000511769,0.000511769,0.000511769
37,314.54,0.76122,0.47826,0.90609,0.91551,0.89007,0.94307,0.72785,0.86218,0.52656,0.96275,0.000478762,0.000478762,0.000478762
