epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.57395,1.47335,2.13883,1.0664,0.63567,0.47058,0.5269,0.32616,1.34365,1.55827,0.99687,0.000552969,0.000552969,0.000552969
2,17.8142,1.39474,1.44539,1.04152,0.78159,0.53431,0.65172,0.39253,1.33511,1.36804,1.03896,0.000998881,0.000998881,0.000998881
3,25.7909,1.39301,1.25463,1.05142,0.66121,0.57442,0.61702,0.38137,1.30575,1.27265,1.00682,0.00133477,0.00133477,0.00133477
4,33.6717,1.33452,1.13246,1.02283,0.82777,0.60166,0.72695,0.45187,1.26307,1.17321,1.01664,0.0011719,0.0011719,0.0011719
5,41.7432,1.28406,1.0407,0.9992,0.7563,0.62645,0.7058,0.44103,1.20386,1.04848,0.94565,0.00100687,0.00100687,0.00100687
6,49.6666,1.21728,0.90481,0.97193,0.82834,0.67901,0.76775,0.50616,1.14917,0.88821,0.94989,0.000841835,0.000841835,0.000841835
7,57.5976,1.18753,0.8594,0.96225,0.7971,0.65242,0.73134,0.48716,1.10996,0.96931,0.92623,0.000676802,0.000676802,0.000676802
8,65.5555,1.13041,0.79753,0.94145,0.86157,0.70558,0.80148,0.53369,1.11558,0.74281,0.94388,0.000511769,0.000511769,0.000511769
9,73.5088,1.08902,0.73152,0.92754,0.89885,0.70269,0.80979,0.55161,1.06578,0.73067,0.92482,0.000346736,0.000346736,0.000346736
10,81.4393,1.04026,0.68647,0.91388,0.91946,0.70986,0.82346,0.57176,1.01569,0.68379,0.90362,0.000181703,0.000181703,0.000181703
